# Plate,T3b,Quality,GOOD,FWHM_MAX,10
# IS_median_FWHM,7.0,Samp_median_FWHM,6.5,IS_per_well,5.7
Well,N_Peaks,MF,Status,Scans,Norm_Areas
A01,1,0.0000,homozygous (1 peak),2679,33.51
A02,4,0.4825,het (4 peaks),2603;2701;2866;2926,7.61;7.45;7.67;7.36
A03,4,0.4655,het (4 peaks),2370;2463;2629;2685,7.08;13.28;8.37;7.25
A04,1,0.0000,homozygous (1 peak),2360,17.02
A05,2,0.3170,het-like (2 peaks),2710;2744,9.53;20.52
A06,3,0.6599,low MF (3 peaks),2637;2736;2881,21.55;17.11;14.57
A07,4,0.4168,het (4 peaks),2531;2624;2775;2818,18.02;9.52;8.78;9.35
A08,2,0.4829,het-like (2 peaks),2571;2664,16.00;15.66
A09,2,0.4855,het-like (2 peaks),2457;2472,21.43;20.22
A10,1,0.0000,homozygous (1 peak),2455,22.76
A11,3,0.6567,low MF (3 peaks),2404;2553;2598,8.96;9.23;9.78
A12,4,0.4847,het (4 peaks),2289;2388;2548;2590,13.90;11.65;11.30;11.06
B01,4,0.4873,het (4 peaks),2563;2665;2824;2887,12.15;11.59;9.91;11.62
B02,1,0.0000,homozygous (1 peak),2705,44.65
B03,4,0.4809,het (4 peaks),2379;2476;2636;2690,7.04;10.31;7.79;7.45
B04,4,0.4979,het (4 peaks),2359;2453;2605;2656,10.85;12.38;11.04;9.32
B05,3,0.5770,low MF (3 peaks),2723;2771;2784,18.79;32.42;27.80
B06,2,0.4845,het-like (2 peaks),2638;2742,10.78;9.25
B07,1,0.0000,homozygous (1 peak),2637,34.09
B08,4,0.4673,het (4 peaks),2557;2651;2772;2807,8.61;9.35;10.25;9.05
B09,4,0.4995,het (4 peaks),2421;2515;2666;2723,10.25;10.92;10.67;10.71
B10,4,0.4646,het (4 peaks),2397;2494;2668;2734,9.28;11.12;9.85;9.94
B11,4,0.4978,het (4 peaks),2325;2420;2567;2611,12.95;11.98;10.25;11.53
B12,1,0.0000,homozygous (1 peak),2289,25.69
C01,4,0.4778,het (4 peaks),2565;2671;2831;2895,8.34;6.31;6.14;6.95
C02,1,0.0000,homozygous (1 peak),2703,19.20
C03,4,0.4795,het (4 peaks),2401;2500;2660;2717,6.59;9.60;7.35;6.60
C04,1,0.0000,homozygous (1 peak),2480,9.53
C05,3,0.5861,low MF (3 peaks),2711;2768;2779,12.52;17.63;14.74
C06,1,0.0000,homozygous (1 peak),2752,16.13
C07,4,0.4689,het (4 peaks),2552;2651;2800;2843,24.15;14.68;15.44;15.97
C08,4,0.4097,het (4 peaks),2551;2648;2792;2833,20.52;9.08;10.31;10.21
C09,1,0.0000,homozygous (1 peak),2520,29.15
C10,1,0.0000,homozygous (1 peak),2505,39.01
C11,1,0.0000,homozygous (1 peak),2323,24.20
C12,4,0.4856,het (4 peaks),2332;2434;2592;2631,9.29;10.92;8.27;8.91
D01,1,0.0000,homozygous (1 peak),2668,16.84
D02,2,0.4494,het-like (2 peaks),2666;2686,21.03;17.16
D03,1,0.0000,homozygous (1 peak),2491,17.73
D04,1,0.0000,homozygous (1 peak),2498,13.93
D05,2,0.4574,het-like (2 peaks),2686;2916,10.62;10.06
D06,1,0.0000,homozygous (1 peak),2759,18.56
D07,1,0.0000,homozygous (1 peak),2668,19.06
D08,1,0.0000,homozygous (1 peak),2669,23.47
D09,4,0.4668,het (4 peaks),2408;2502;2662;2722,9.43;13.85;10.98;10.17
D10,1,0.0000,homozygous (1 peak),2519,23.07
D11,4,0.4833,het (4 peaks),2353;2449;2587;2623,7.46;6.89;6.81;5.96
D12,4,0.4844,het (4 peaks),2308;2408;2563;2603,6.80;6.56;6.00;6.19
E01,1,0.0000,homozygous (1 peak),2682,25.82
E02,1,0.0000,homozygous (1 peak),2693,15.91
E03,1,0.0000,homozygous (1 peak),2510,21.29
E04,1,0.0000,homozygous (1 peak),2391,11.77
E05,3,0.6550,low MF (3 peaks),2670;2764;2903,9.74;8.81;7.88
E06,2,0.4895,het-like (2 peaks),2750;2895,6.45;6.08
E07,1,0.0000,homozygous (1 peak),2645,20.01
E08,4,0.4925,het (4 peaks),2598;2687;2812;2850,7.28;8.69;7.99;7.51
E09,1,0.0000,homozygous (1 peak),2520,26.44
E10,1,0.0000,homozygous (1 peak),2414,25.23
E11,4,0.4660,het (4 peaks),2344;2439;2563;2596,12.02;7.97;8.20;7.62
E12,1,0.0000,homozygous (1 peak),2397,27.60
F01,3,0.6611,low MF (3 peaks),2626;2736;2888,7.35;5.88;5.89
F02,1,0.0000,homozygous (1 peak),2770,15.97
F03,4,0.4767,het (4 peaks),2420;2520;2655;2697,8.27;7.92;8.18;6.95
F04,1,0.0000,homozygous (1 peak),2492,20.33
F05,3,0.6421,low MF (3 peaks),2684;2771;2905,6.16;6.66;6.36
F06,3,0.5016,low MF (3 peaks),2690;2775;2899,18.22;8.67;8.21
F07,1,0.0000,homozygous (1 peak),2679,14.19
F08,1,0.0000,homozygous (1 peak),2680,27.13
F09,1,0.0000,homozygous (1 peak),2534,22.92
F10,4,0.4495,het (4 peaks),2428;2522;2669;2725,9.64;6.33;6.73;6.54
F11,4,0.4396,het (4 peaks),2355;2451;2567;2599,16.11;8.04;8.08;8.45
F12,1,0.0000,homozygous (1 peak),2295,28.87
G01,1,0.0000,homozygous (1 peak),2678,15.02
G02,1,0.0000,homozygous (1 peak),2732,18.87
G03,2,0.4067,het-like (2 peaks),2513;2528,16.57;11.35
G04,4,0.4949,het (4 peaks),2410;2504;2643;2689,3.35;4.32;3.56;3.31
G05,1,0.0000,homozygous (1 peak),2800,20.13
G06,2,0.4879,het-like (2 peaks),2771;2893,9.13;9.49
G07,4,0.4798,het (4 peaks),2591;2689;2815;2856,5.35;5.98;6.16;6.02
G08,4,0.4808,het (4 peaks),2582;2669;2785;2825,6.52;8.16;8.11;7.41
G09,1,0.0000,homozygous (1 peak),2537,18.79
G10,4,0.4900,het (4 peaks),2430;2527;2666;2712,7.07;7.80;7.42;7.52
G11,1,0.0000,homozygous (1 peak),2431,23.42
G12,4,0.4942,het (4 peaks),2314;2417;2574;2613,7.02;7.32;5.49;6.19
H01,4,0.4782,het (4 peaks),2611;2719;2860;2909,7.01;7.42;7.09;7.32
H02,3,0.6200,low MF (3 peaks),2639;2856;2902,5.24;5.49;5.38
H03,4,0.4677,het (4 peaks),2382;2485;2631;2676,4.22;5.13;4.13;3.70
H04,4,0.4725,het (4 peaks),2413;2503;2623;2664,5.28;5.59;4.83;3.83
H05,1,0.0000,homozygous (1 peak),2757,18.35
H06,1,0.0000,homozygous (1 peak),2134,46.47
H07,1,0.0000,homozygous (1 peak),2682,11.53
H08,4,0.4965,het (4 peaks),2552;2641;2750;2784,3.66;3.76;3.51;3.25
H09,4,0.4651,het (4 peaks),2428;2531;2658;2700,14.26;13.00;11.38;11.79
H10,1,0.0000,homozygous (1 peak),2531,22.99
H11,4,0.4299,het (4 peaks),2434;2538;2664;2697,14.48;11.96;8.42;8.79
H12,2,0.3101,het-like (2 peaks),2428;2447,23.18;10.42
